index,name,mass,px,py,vx,vy,total_fx,total_fy
Sun,Sun,1.98892E+30,0,0,0,0,0,0
Mercury,Mercury,3.3E+23,0,57900812779,-47875.85414,0,0,0
Venus,Venus,4.87E+24,1.08202E+11,0,-2.14536E-12,-35022.10023,0,0
Earth,Earth,5.97E+24,-1.496E+11,0,5.4736E-12,29784.68892,0,0
 Castalia, Castalia,5E+11,86728335496,-1.33293E+11,24214.17305,-15755.15172,0,0
 Icarus, Icarus,1E+12,1.39187E+11,81453555017,-14489.16564,-24758.88871,0,0
 Bennu, Bennu,73000000000,1.23954E+11,-1.14064E+11,19006.50523,-20654.54892,0,0
 Geographos, Geographos,4E+12,-1.7528E+11,-62980769015,9026.41729,25121.22918,0,0
 Itokawa, Itokawa,35000000000,-1.92226E+11,-47760728881,6241.664822,25121.25878,0,0
 Eros, Eros,6.69E+15,47577279686,-2.12865E+11,24072.913,-5380.526762,0,0
 Apollo, Apollo,2E+12,-2.09239E+11,-67677628076,7560.153305,23373.75257,0,0
Mars,Mars,6.42E+23,2.27903E+11,0,-1.47823E-12,-24131.46312,0,0
 McAuliffe, McAuliffe,1.84264E+12,-1.24986E+11,2.51783E+11,-19462.48113,9661.231424,0,0
 Otawara, Otawara,2E+14,-1.76204E+11,2.72294E+11,-16982.85019,10989.74704,0,0
 Rodari, Rodari,1.2099E+12,1.183E+11,3.06162E+11,-18756.75634,-7247.530969,0,0
 AnneFrank, AnneFrank,9.14995E+13,-1.22261E+11,-3.07662E+11,18606.4591,7393.967598,0,0
 Mimistrobell, Mimistrobell,1.07618E+12,1.12994E+11,-3.17068E+11,18704.2245,-6665.655308,0,0
 Braille, Braille,7.39638E+13,-2.02039E+11,-2.86059E+11,15900.65731,11230.38515,0,0
 Vesta, Vesta,2.59E+20,3.00602E+11,-1.85737E+11,10186.8695,-16486.69051,0,0
 Steins, Steins,5.14444E+13,-1.89027E+11,-2.98722E+11,16373.16242,10360.68932,0,0
 Lutetia, Lutetia,1.7E+18,2.75503E+11,-2.38317E+11,12487.3089,-14435.74053,0,0
 Toutatis, Toutatis,5E+13,3.40146E+11,-1.67353E+11,8260.097684,-16788.70578,0,0
 Mathilde, Mathilde,1.033E+17,3.77231E+11,1.2044E+11,-5568.045873,-17439.65142,0,0
 Juno, Juno,2E+19,-3.84314E+11,-1.08853E+11,4967.458195,17538.01364,0,0
 Eugenia, Eugenia,6.1E+18,-2.61981E+11,-3.11553E+11,13819.76564,11620.84769,0,0
 Siwa, Siwa,1.5E+18,-2.06133E+11,3.52917E+11,-15560.14362,9088.412486,0,0
 Ceres, Ceres,9.393E+20,-1.86333E+11,3.69801E+11,-15987.49331,8055.691562,0,0
 Pallas, Pallas,2.05E+20,-3.17515E+11,-2.66745E+11,11507.16633,13697.3267,0,0
 Kleopatra, Kleopatra,5.21292E+20,-31291043143,4.16809E+11,-17768.85645,1333.957256,0,0
 Ida, Ida,1E+17,-1.54817E+11,3.99024E+11,-16416.63816,6369.464785,0,0
 Shipka, Shipka,4.36909E+20,-29626539271,4.5037E+11,-17110.69956,1125.587946,0,0
Jupiter,Jupiter,1.898E+27,6.74297E+11,-3.89305E+11,6527.826781,-11306.52765,0,0
Saturn,Saturn,5.68E+26,7.1676E+11,-1.24146E+12,8332.735568,-4810.907123,0,0
 Chiron, Chiron,4E+18,1.52572E+12,1.35431E+12,-5354.281347,-6031.970352,0,0
Uranus,Uranus,8.68E+25,0.000351929,-2.87254E+12,6797.133477,-8.3275E-13,0,0
Neptune,Neptune,1.02E+26,-2.24758E+12,-3.89293E+12,4705.619099,2716.790454,0,0
Pluto,Pluto,1.46E+22,-5.11516E+12,-2.95324E+12,2370.087576,4105.1121,0,0
    65 Cybele,    65 Cybele,5.27244E+18,-4.22843E+11,-2.8933E+11,9088.553251,13282.53957,0,0
    76 Freia,    76 Freia,3.23162E+18,-4.74017E+11,1.90257E+11,-6004.206842,14959.25401,0,0
    87 Sylvia,    87 Sylvia,5.62336E+18,-3.87034E+11,-3.48654E+11,10683.1625,11859.18176,0,0
   107 Camilla,   107 Camilla,4.67489E+18,3.12334E+11,4.18489E+11,-12776.04156,-9535.245315,0,0
   108 Hecuba,   108 Hecuba,1.67773E+18,4.39053E+11,-2.04458E+11,6988.080653,-15006.19356,0,0
   121 Hermione,   121 Hermione,4.64444E+18,-53751069741,-5.15053E+11,15922.25193,1661.649353,0,0
