index,name,mass,px,py,vx,vy,total_fx,total_fy
Sun,Sun,1.99E+30,0,0,0,0,0,0
Jupiter,Jupiter,1.90E+27,0,-7.79E+11,-13055.65356,0,0,0
Saturn,Saturn,5.68E+26,0,1.43E+12,9621.814247,0,0,0
Neptune,Neptune,1.02E+26,-4.50E+12,0,0,5433.580907,0,0
Uranus,Uranus,8.68E+25,0,-2.87E+12,-6797.133477,0,0,0
Earth,Earth,5.97E+24,-1.50E+11,0,0,29784.68892,0,0
Venus,Venus,4.87E+24,1.08E+11,0,0,-35022.10023,0,0
Mars,Mars,6.42E+23,2.28E+11,0,0,-24131.46312,0,0
Mercury,Mercury,3.30E+23,0,57900812779,47875.85414,0,0,0
Pluto,Pluto,1.46E+22,0,5.91E+12,4740.175151,0,0,0
Ceres,Ceres,9.39E+20,-1.86E+11,3.70E+11,15987.49331,8055.691562,0,0
Kleopatra,Kleopatra,5.21E+20,-31291043143,4.17E+11,17768.85645,1333.957256,0,0
Shipka,Shipka,4.37E+20,-29626539271,4.50E+11,17110.69956,1125.587946,0,0
Vesta,Vesta,2.59E+20,3.01E+11,-1.86E+11,-10186.8695,-16486.69051,0,0
Pallas,Pallas,2.05E+20,-3.18E+11,-2.67E+11,-11507.16633,13697.3267,0,0
Juno,Juno,2.00E+19,-3.84E+11,-1.09E+11,-4967.458195,17538.01364,0,0
Eugenia,Eugenia,6.10E+18,-2.62E+11,-3.12E+11,-13819.76564,11620.84769,0,0
87 Sylvia,87 Sylvia,5.62E+18,-3.87E+11,-3.49E+11,-10683.1625,11859.18176,0,0
65 Cybele,65 Cybele,5.27E+18,-4.23E+11,-2.89E+11,-9088.553251,13282.53957,0,0
107 Camilla,107 Camilla,4.67E+18,3.12E+11,4.18E+11,12776.04156,-9535.245315,0,0
121 Hermione,121 Hermione,4.64E+18,-53751069741,-5.15E+11,-15922.25193,1661.649353,0,0
334 Chicago (1892 L),334 Chicago (1892 L),4.42E+18,-4.46E+11,-3.74E+11,-9702.279855,11576.09681,0,0
Chiron,Chiron,4.00E+18,9.00E+11,1.83E+12,7238.259753,-3558.172398,0,0
153 Hilda,153 Hilda,3.79E+18,-3.58E+11,-4.76E+11,-11935.19755,8972.369223,0,0
790 Pretoria (1912 NW),790 Pretoria (1912 NW),3.79E+18,4.75E+11,-1.84E+11,-5828.914957,-15044.37787,0,0
566 Stereoskopia (1905 QO),566 Stereoskopia (1905 QO),3.72E+18,-4.56E+11,2.18E+11,6998.517305,14617.29127,0,0
190 Ismene,190 Ismene,3.53E+18,-16230082296,-5.96E+11,-14911.33707,405.9152009,0,0
361 Bononia (1893 P),361 Bononia (1893 P),3.43E+18,5.68E+11,1.68E+11,4240.540703,-14353.30345,0,0
536 Merapi (1904 OF),536 Merapi (1904 OF),3.27E+18,1.25E+11,-5.08E+11,-15459.99488,-3811.056142,0,0
168 Sibylla,168 Sibylla,3.23E+18,-4.44E+11,-2.40E+11,-7706.077478,14267.36627,0,0
76 Freia,76 Freia,3.23E+18,-4.74E+11,1.90E+11,6004.206842,14959.25401,0,0
420 Bertholda (1896 CY),420 Bertholda (1896 CY),3.08E+18,4.42E+11,2.56E+11,8076.876558,-13952.27091,0,0
381 Myrrha (1894 AS),381 Myrrha (1894 AS),2.84E+18,4.65E+11,-1.30E+11,-4462.110144,-15974.05862,0,0
279 Thule,279 Thule,2.81E+18,3.77E+11,-5.16E+11,-11636.09042,-8498.209813,0,0
909 Ulla (1919 FA),909 Ulla (1919 FA),2.59E+18,-4.67E+11,2.50E+11,7473.244918,13948.9898,0,0
545 Messalina (1904 OY),545 Messalina (1904 OY),2.50E+18,-4.75E+11,60028418485,2085.123633,16511.83736,0,0
895 Helio (1918 DU),895 Helio (1918 DU),2.43E+18,4.52E+11,-1.58E+11,-5480.673249,-15719.62099,0,0
229 Adelinda,229 Adelinda,2.35E+18,2.32E+11,4.57E+11,14352.92431,-7278.108821,0,0
1269 Rollandia (1930 SH),1269 Rollandia (1930 SH),2.33E+18,-9991671661,5.83E+11,15079.20753,258.2539836,0,0
748 Simeisa (1913 RD),748 Simeisa (1913 RD),2.30E+18,5.23E+11,2.74E+11,6967.762274,-13274.0677,0,0
260 Huberta,260 Huberta,2.26E+18,-39661857253,-5.15E+11,-15978.3628,1229.988318,0,0
522 Helga (1904 NC),522 Helga (1904 NC),2.25E+18,4.78E+11,2.57E+11,7401.179764,-13782.96642,0,0
733 Mocia (1912 PF),733 Mocia (1912 PF),2.19E+18,2.75E+11,-4.28E+11,-13591.56817,-8728.129375,0,0
713 Luscinia (1911 LS),713 Luscinia (1911 LS),2.18E+18,-2.89E+11,4.18E+11,13287.43508,9195.661746,0,0
1180 Rita (1931 GE),1180 Rita (1931 GE),2.16E+18,-5.94E+11,74525977173,1851.420374,14767.89667,0,0
1268 Libya (1930 HJ),1268 Libya (1930 HJ),2.15E+18,-4.05E+11,-4.35E+11,-10936.09605,10175.62725,0,0
1390 Abastumani (1935 TA),1390 Abastumani (1935 TA),2.13E+18,3.22E+11,4.01E+11,12527.27635,-10053.64777,0,0
225 Henrietta,225 Henrietta,2.13E+18,2.06E+11,4.64E+11,14782.76138,-6557.41716,0,0
466 Tisiphone (1901 FX),466 Tisiphone (1901 FX),2.12E+18,4.90E+11,1.09E+11,3532.960953,-15873.31436,0,0
978 Aidamina (1922 LY),978 Aidamina (1922 LY),2.05E+18,4.40E+11,1.91E+11,6613.084426,-15267.74682,0,0
1177 Gonnessia (1930 WA),1177 Gonnessia (1930 WA),2.04E+18,-2.35E+11,4.44E+11,14369.09852,7596.151042,0,0
528 Rezia (1904 NS),528 Rezia (1904 NS),2.04E+18,3.29E+11,-3.87E+11,-12311.80259,-10477.82186,0,0
595 Polyxena (1906 TZ),595 Polyxena (1906 TZ),2.01E+18,-4.29E+11,2.15E+11,7464.689691,14860.68384,0,0
1467 Mashona (1938 OE),1467 Mashona (1938 OE),1.98E+18,4.06E+11,-3.03E+11,-9679.311181,-12979.98944,0,0
1028 Lydina (1923 PG),1028 Lydina (1923 PG),1.97E+18,-3.65E+11,-3.55E+11,-11252.9599,11573.2157,0,0
414 Liriope (1896 CN),414 Liriope (1896 CN),1.97E+18,1.41E+11,5.06E+11,15318.01582,-4268.876324,0,0
401 Ottilia (1895 BT),401 Ottilia (1895 BT),1.95E+18,-5.00E+11,22268293559,725.3745183,16274.21535,0,0
570 Kythera (1905 QX),570 Kythera (1905 QX),1.94E+18,4.31E+11,-2.76E+11,-8692.285035,-13564.29015,0,0
721 Tabora (1911 MZ),721 Tabora (1911 MZ),1.92E+18,5.25E+11,-83614792313,-2484.648089,-15602.53269,0,0
1902 Shaposhnikov (1972 HU),1902 Shaposhnikov (1972 HU),1.85E+18,26220609110,5.94E+11,14926.29814,-658.9458959,0,0
806 Gyldenia (1915 WX),806 Gyldenia (1915 WX),1.85E+18,4.23E+11,2.28E+11,7886.412195,-14621.87441,0,0
