index,name,mass,px,py,vx,vy,total_fx,total_fy
 18562 Ellenkey (1997 EK54), 18562 Ellenkey (1997 EK54),2.59667E+17,-4.64413E+11,-1.17189E+11,4072.704875,16139.87494,0,0
 18582 (1997 XK9), 18582 (1997 XK9),1.01311E+17,-2.19503E+11,-1.70692E+11,13411.09667,17246.12542,0,0
 18673 (1998 FH66), 18673 (1998 FH66),2.20178E+17,4.81464E+11,68981711342,-2342.760653,-16351.52158,0,0
 18688 (1998 FA123), 18688 (1998 FA123),1.62467E+17,-3.30852E+11,3.49234E+11,-12057.68029,11423.04975,0,0
 18703 (1998 HN68), 18703 (1998 HN68),2.10267E+17,4.64397E+11,-1.22247E+11,4231.939874,-16076.48291,0,0
 18705 (1998 HX88), 18705 (1998 HX88),2.15778E+17,-10227113466,4.87292E+11,-16497.60691,346.2462539,0,0
 18717 (1998 HZ127), 18717 (1998 HZ127),1.51733E+17,4.78677E+11,30846534142,-1069.673722,-16599.22025,0,0
 18721 (1998 HC146), 18721 (1998 HC146),2.48667E+17,4.62888E+11,-1.25518E+11,4353.529184,-16055.00196,0,0
 18723 (1998 JO1), 18723 (1998 JO1),2.70533E+17,-2.1913E+11,-4.3132E+11,14766.25265,7501.904642,0,0
 18732 (1998 KP19), 18732 (1998 KP19),3.51889E+17,-3.6697E+11,3.19295E+11,-10842.20498,12461.0899,0,0
 18743 (1998 YD5), 18743 (1998 YD5),3.68844E+17,-3.37683E+11,-3.40713E+11,11813.78378,11708.7155,0,0
 18828 (1999 NT27), 18828 (1999 NT27),2.82644E+17,-34804349720,4.85968E+11,-16462.2336,1179.00305,0,0
 18844 (1999 RU27), 18844 (1999 RU27),2.76756E+17,1.40994E+11,-4.62112E+11,15852.31974,-4836.680259,0,0
 18849 (1999 RK55), 18849 (1999 RK55),2.142E+17,3.37252E+11,-3.49649E+11,11896.4285,-11474.62846,0,0
 18868 (1999 TD101), 18868 (1999 TD101),1.972E+17,-3.03894E+11,3.72153E+11,-12873.11704,10511.97355,0,0
 18880 Toddblumberg (1999 XM166), 18880 Toddblumberg (1999 XM166),9.51778E+16,-44925915060,-4.77952E+11,16553.94491,1556.016421,0,0
 18890 (2000 EV26), 18890 (2000 EV26),4.76444E+16,1.64245E+11,2.35068E+11,-17634.61976,-12321.52091,0,0
 18895 (2000 GJ108), 18895 (2000 GJ108),4.95489E+17,-3.65816E+11,-3.1038E+11,10760.54424,12682.45621,0,0
 18916 (2000 OG44), 18916 (2000 OG44),1.24444E+17,4.43242E+11,3.68972E+11,-9705.249506,-11658.81815,0,0
 18934 (2000 QY36), 18934 (2000 QY36),2.04956E+17,70326812132,4.75797E+11,-16432.68626,-2428.890439,0,0
 18958 (2000 QL128), 18958 (2000 QL128),3.36422E+17,68356543571,5.04029E+11,-16006.43443,-2170.796832,0,0
 18959 (2000 QG129), 18959 (2000 QG129),2.31044E+17,-1.75142E+11,4.92577E+11,-15012.23582,5337.777968,0,0
 18968 (2000 QX152), 18968 (2000 QX152),1.27333E+17,16134012718,-4.86067E+11,16510.19223,-548.0225141,0,0
 18984 Olathe (2000 RA8), 18984 Olathe (2000 RA8),3.91756E+17,2.09545E+11,4.38982E+11,-14906.46858,-7115.513666,0,0
 18996 Torasan (2000 RR53), 18996 Torasan (2000 RR53),5.052E+17,-22023397921,4.78689E+11,-16624.2954,764.8456342,0,0
 19010 (2000 RT72), 19010 (2000 RT72),2.85578E+17,3.77942E+11,2.9459E+11,-10230.93124,-13125.67029,0,0
 19011 (2000 RU75), 19011 (2000 RU75),5.45556E+16,-97586660035,2.71961E+11,-20172.29397,7238.332442,0,0
 19030 (2000 SJ276), 19030 (2000 SJ276),2.87556E+17,-2.0226E+11,-4.36259E+11,15071.91688,6987.715612,0,0
 19149 Boccaccio (1990 EZ2), 19149 Boccaccio (1990 EZ2),3.24267E+17,-4.26603E+11,-2.71925E+11,8705.868789,13658.02254,0,0
 19164 (1991 AU1), 19164 (1991 AU1),7.48444E+16,-2.17534E+11,1.72452E+11,-13583.20413,17134.07355,0,0
 19226 Peiresc (1993 RA8), 19226 Peiresc (1993 RA8),2.84111E+17,4.98625E+11,-46817025167,1521.747549,-16207.38373,0,0
 19279 (1995 YC4), 19279 (1995 YC4),1.63089E+17,4.42241E+11,-2.3961E+11,7738.129351,-14282.04925,0,0
 19284 (1996 BU3), 19284 (1996 BU3),1.78956E+17,-4.46968E+11,1.76316E+11,-6098.574279,15460.11023,0,0
 19358 (1997 GO23), 19358 (1997 GO23),2.976E+17,49818984702,4.96914E+11,-16220.36871,-1626.202172,0,0
 19457 Robcastillo (1998 HE6), 19457 Robcastillo (1998 HE6),2.41556E+17,3.2905E+11,3.52123E+11,-12124.56773,-11330.08885,0,0
 19508 (1998 MC17), 19508 (1998 MC17),2.03178E+17,-3.11621E+11,-3.658E+11,12650.57242,10776.88556,0,0
 19513 (1998 QN7), 19513 (1998 QN7),3.60156E+17,-4.36086E+11,-2.57828E+11,8237.352603,13932.52439,0,0
 19537 (1999 JL8), 19537 (1999 JL8),7.57333E+16,-2.59212E+11,1.37354E+11,-9958.901513,18794.20403,0,0
 19590 (1999 NG18), 19590 (1999 NG18),3.54511E+17,1.70639E+11,-4.53939E+11,15484.90764,-5820.874,0,0
 19617 Duhamel (1999 PH1), 19617 Duhamel (1999 PH1),2.34044E+17,4.78969E+11,-40861633734,1412.379034,-16555.52911,0,0
 19622 (1999 RY2), 19622 (1999 RY2),2.52067E+17,4.48217E+11,-1.82519E+11,6245.391656,-15337.01177,0,0
 19689 (1999 RX205), 19689 (1999 RX205),2.71378E+17,-1.54787E+11,5.0038E+11,-15206.98267,4704.117013,0,0
 19694 Dunkelman (1999 RX230), 19694 Dunkelman (1999 RX230),3.40444E+17,5.05258E+11,1.62828E+11,-4849.912835,-15049.34746,0,0
